title,cast,director,genres,keywords,title,overview,tagline
The Nutcracker: The Untold Story,"['Elle Fanning', 'Nathan Lane', 'John Turturro', 'Frances de la Tour', 'Charlie Rowe']",Andrei Konchalovsky,"['Fantasy', 'Action', 'Family']",[],The Nutcracker: The Untold Story,"Set in 1920's Vienna, this a tale of a little girl, whose godfather gives her a special doll one Christmas Eve.",
Seabiscuit,"['Jeff Bridges', 'David McCullough', 'Chris Cooper', 'Tobey Maguire', 'Elizabeth Banks']",Gary Ross,"['Drama', 'History']","['horse race', 'american dream', 'racehorse', 'great depression']",Seabiscuit,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,The hopes of a nation rode on a long shot.
Twister,"['Helen Hunt', 'Bill Paxton', 'Cary Elwes', 'Jami Gertz', 'Philip Seymour Hoffman']",Jan de Bont,"['Action', 'Adventure', 'Drama']","['wife husband relationship', 'tornado', 'twister', 'oklahoma', 'metereologist', 'invention', 'climate', 'barn', 'natural disaster', 'cow', 'truck', 'disaster', 'aunt niece relationship', 'storm chaser', 'divorce']",Twister,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados.",The Dark Side of Nature.
Cast Away,"['Tom Hanks', 'Helen Hunt', 'Chris Noth', 'Paul Sanchez', 'Lari White']",Robert Zemeckis,"['Adventure', 'Drama']","['exotic island', 'suicide attempt', 'volleyball', 'loneliness', 'airplane crash', 'deserted island', 'tropical island', 'survival skills']",Cast Away,"Chuck, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia ditches at sea during a terrible storm. He's the only survivor, and he washes up on a tiny island with nothing but some flotsam and jetsam from the aircraft's cargo.","At the edge of the world, his journey begins."
Happy Feet,"['Elijah Wood', 'Robin Williams', 'Brittany Murphy', 'Hugh Jackman', 'Nicole Kidman']",George Miller,"['Animation', 'Comedy']","['ocean', 'fish', 'zoo', 'penguin', 'tap dancing', 'love', 'crush', 'snow', 'anthropomorphism', 'singing', 'antarctica', 'family', 'duringcreditsstinger']",Happy Feet,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",WARNING: May Cause Toe-Tapping.
The Bourne Supremacy,"['Matt Damon', 'Franka Potente', 'Brian Cox', 'Julia Stiles', 'Karl Urban']",Paul Greengrass,"['Action', 'Drama', 'Thriller']","['berlin', 'assassin', 'based on novel', 'amnesia', 'sniper', 'lie', 'sequel', 'suspense', 'on the run', 'shootout', 'espionage', 'violence', 'foot chase', 'car chase', 'exploding house', 'though guy', 'one against many', 'rail car', 'dark past', 'moscow', 'hand to hand combat']",The Bourne Supremacy,"When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",They should have left him alone.
Air Force One,"['Harrison Ford', 'Gary Oldman', 'Glenn Close', 'Wendy Crewson', 'William H. Macy']",Wolfgang Petersen,"['Action', 'Thriller']","['prison', 'corruption', 'journalist', 'white house', 'hostage', 'ultimatum', 'hostage-taking', 'air force one', 'aerial combat', 'conspiracy', 'gunfight', 'fighter plane', 'secret service', 'american president', 'hand to hand combat', 'negotiation', 'political prisoner', 'airplane hijack']",Air Force One,"Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation.",The fate of a nation rests on the courage of one man.
Ocean's Eleven,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Andy García', 'Julia Roberts']",Steven Soderbergh,"['Thriller', 'Crime']","['prison', 'pickpocket', 'strip club', 'con artist', 'atlantic city', 'cockney accent', 'las vegas', 'card dealer', 'explosives expert', 'black and white scene', 'male', 'salt lake city utah']",Ocean's Eleven,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",Are you in or out?
The Three Musketeers,"['Milla Jovovich', 'Orlando Bloom', 'Logan Lerman', 'Ray Stevenson', 'Matthew Macfadyen']",Paul W.S. Anderson,"['Adventure', 'Action', 'Thriller']","['number in title', 'historical fiction', 'musketeer', '17th century', '3d']",The Three Musketeers,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,Every legend has a new beginning.
Hotel Transylvania,"['Adam Sandler', 'Steve Buscemi', 'David Spade', 'Kevin James', 'Selena Gomez']",Genndy Tartakovsky,"['Animation', 'Comedy', 'Family', 'Fantasy']","['witch', 'magic', 'mummy', 'vampire', 'dracula', 'skeleton', 'backpacker', 'frankenstein', 'wolfman', 'zombie', 'invisible man', 'duringcreditsstinger', '\xa0nosferatu', 'protective father', 'fang vamp']",Hotel Transylvania,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.",Where monsters go to get away from it all
Enchanted,"['Amy Adams', 'Patrick Dempsey', 'James Marsden', 'Timothy Spall', 'Rachel Covey']",Kevin Lima,"['Comedy', 'Family', 'Fantasy', 'Romance']","['poison', 'queen', 'fairy tale', 'musical', 'princess', 'portal', 'animation', 'fantasy world', 'evil witch', 'part animation']",Enchanted,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",This fairytale princess is about to meet a real Prince Charming
Safe House,"['Denzel Washington', 'Ryan Reynolds', 'Vera Farmiga', 'Joel Kinnaman', 'Brendan Gleeson']",Daniel Espinosa,"['Action', 'Thriller']","['cia', 'violence', 'safe house', 'rogue agent', 'cape town south africa', 'soccer stadium']",Safe House,"A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.",No one is safe
102 Dalmatians,"['Glenn Close', 'Ioan Gruffudd', 'Alice Evans', 'Tim McInnerny', 'Gérard Depardieu']",Kevin Lima,"['Comedy', 'Family']","['london england', 'prison', 'release from prison', ""women's prison"", 'society for the prevention of cruelty to animals', 'puppy', 'pelz', 'dog', 'dalmatian']",102 Dalmatians,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil",Meet Two Unlikely Heroes With A Bone To Pick.
Tower Heist,"['Ben Stiller', 'Eddie Murphy', 'Casey Affleck', 'Alan Alda', 'Matthew Broderick']",Brett Ratner,"['Action', 'Comedy']","['skyscraper', 'thanksgiving', 'billionaire', 'parade', 'fbi agent', 'apartment', 'high rise', 'female agent', 'ponzi scheme', 'empty safe', 'caper comedy', 'planning', 'safecracker', 'recruiting', 'heist movie', 'deceit', 'lobby']",Tower Heist,"A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime, the unlikely crew of amateur thieves enlists the help of petty crook Slide to steal the $20 million they’re sure is hidden in the penthouse.",Ordinary guys. An extraordinary robbery.
The Holiday,"['Cameron Diaz', 'Kate Winslet', 'Jude Law', 'Jack Black', 'Eli Wallach']",Nancy Meyers,"['Comedy', 'Romance']","['holiday', 'london england', 'film making', 'christmas party', 'country house', 'room exchange', 'surrey', 'romantic comedy', 'los angeles', 'multiple storylines', 'woman director', 'christmas']",The Holiday,"Two women, one (Cameron Diaz) from America and one (Kate Winslet) from Britain, swap homes at Christmastime after bad breakups with their boyfriends. Each woman finds romance with a local man (Jude Law, Jack Black) but realizes that the imminent return home may end the relationship.",It's Christmas Eve and we are going to go celebrate being young and being alive.
Enemy of the State,"['Will Smith', 'Gene Hackman', 'Jon Voight', 'Regina King', 'Ian Hart']",Tony Scott,"['Action', 'Drama', 'Thriller']","['corruption', 'washington d.c.', 'helicopter', 'falsely accused', 'identity', 'mexican standoff', 'blackmail', 'intelligence', 'wiretap', 'satellite', 'national security agency (nsa)', 'politics', 'exploding building', 'suspense', 'mystery', 'mafia', 'conspiracy', 'lawyer', 'crime', 'privacy', 'surveillance', 'baltimore maryland', 'secret hideout']",Enemy of the State,"Hotshot Washington lawyer, Robert Dean becomes a victim of high-tech identity theft when a hacker slips an incriminating video into his pocket. Soon, a rogue National Security agent sets out to recover the tape – and destroy Dean.",It's not paranoia if they're really after you.
It's Complicated,"['Meryl Streep', 'Alec Baldwin', 'Steve Martin', 'John Krasinski', 'Lake Bell']",Nancy Meyers,"['Comedy', 'Romance']","['graduation', 'ex husband', 'woman director']",It's Complicated,"Ten years after their divorce, Jane and Jake Adler unite for their son's college graduation and unexpectedly end up sleeping together. But Jake is married, and Jane is embarking on a new romance with her architect. Now, she has to sort out her life – just when she thought she had it all figured out.",First comes marriage. Then comes divorce. And then...
Ocean's Thirteen,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Al Pacino', 'Bernie Mac']",Steven Soderbergh,"['Crime', 'Thriller']","['casino', 'thief', 'revenge', 'heist', 'las vegas', 'pretending to be rich', 'labor strike']",Ocean's Thirteen,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",What are the odds of getting even? 13 to one.
Open Season,"['Martin Lawrence', 'Ashton Kutcher', 'Gary Sinise', 'Debra Messing', 'Billy Connolly']",Jill Culton,"['Adventure', 'Animation', 'Family']","['hunter', 'mountains', 'garage', 'grizzly bear', 'bunny', 'chase', 'forest', 'deer', 'bear', 'hunt']",Open Season,"Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",One Fur All & All Fur One
Divergent,"['Shailene Woodley', 'Theo James', 'Kate Winslet', 'Miles Teller', 'Ray Stevenson']",Neil Burger,"['Adventure', 'Action', 'Science Fiction']","['based on novel', 'dystopia', 'youth', 'dystopic future', 'caste system', 'divergent', 'based on young adult novel']",Divergent,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",What makes you different makes you dangerous.
Enemy at the Gates,"['Jude Law', 'Rachel Weisz', 'Ed Harris', 'Joseph Fiennes', 'Bob Hoskins']",Jean-Jacques Annaud,['War'],"['winter', 'sniper', 'world war ii', 'stalingrad']",Enemy at the Gates,Enemy at the Gates is a war film from Jean-Jacques Annaud from 2001 that takes place during the battle of Stalingard in World War II between the Russians and the Germans.,Some Men Are Born To Be Heroes.
